9.50E-01,-7.31E-03,0.174
8.22E-01,-2.13E-02,0.001
6.72E-01,-3.54E-02,-0.134
5.72E-01,-4.26E-02,-0.213
4.72E-01,-4.75E-02,-0.466
3.72E-01,-4.89E-02,-0.369
2.72E-01,-4.72E-02,-0.27
1.72E-01,-4.24E-02,-0.165
5.02E-02,-2.97E-02,-0.051
2.00E-02,-2.27E-02,-0.011
6.11E-03,-1.36E-02,0.561
0.00E+00,0.00E+00,0.784
2.10E-03,7.87E-03,0.379
8.93E-03,1.62E-02,-0.209
2.01E-02,2.28E-02,-0.83
3.53E-02,2.70E-02,-1.051
6.01E-02,3.13E-02,-1.01
1.00E-01,3.62E-02,-0.922
1.50E-01,4.08E-02,-0.878
2.00E-01,4.41E-02,-0.855
2.50E-01,4.65E-02,-0.845
3.00E-01,4.80E-02,-0.711
3.50E-01,4.88E-02,-0.625
4.00E-01,4.89E-02,-0.673
4.50E-01,4.81E-02,-0.731
5.00E-01,4.65E-02,-0.777
5.50E-01,4.39E-02,-0.452
6.00E-01,4.08E-02,-0.198
6.50E-01,3.71E-02,-0.094
7.10E-01,3.22E-02,-0.016
7.80E-01,2.56E-02,0.043
8.50E-01,1.82E-02,0.094
9.20E-01,1.02E-02,0.162
9.85E-01,2.67E-03,0.235
